Received	Last location	Reason	Speed (kph)	Mileage (km)	Heading	GPS	Installed	Button	Door	Main power	Light	Temperature	Address	Longitude	Latitude	Altitude (m)	Name
8/19/2017 11:13	8/19/2017 11:09	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	40% / 3.8v	_	33.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	6	591016
8/19/2017 11:28	8/19/2017 11:09	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	40% / 3.8v	_	32.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	6	591016
8/19/2017 11:29	8/19/2017 11:29	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	42% / 3.81v	_	32.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/19/2017 11:30	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/19/2017 11:43	8/19/2017 11:29	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	40% / 3.8v	_	32.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/19/2017 11:49	8/19/2017 11:49	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	42% / 3.81v	_	32.0c	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1371	26.0914	_	591016
8/19/2017 11:50	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1371	26.0914	_	591016
8/19/2017 11:58	8/19/2017 11:49	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	40% / 3.8v	_	32.0c	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1371	26.0914	_	591016
8/19/2017 12:09	8/19/2017 12:09	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	42% / 3.81v	_	32.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/19/2017 12:10	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
